Airport Code, City
ATL,"Atlanta"
LAX,"Los Angeles"
ORD,"Chicago"
DFW,"Dallas"
DEN,"Denver"
JFK,"New York"
SFO,"San Francisco"
SEA,"Seattle"
LAS,"Las Vegas"
MCO,"Orlando"
EWR,"Newark"
CLT,"Charlotte"
PHX,"Phoenix"
IAH,"Houston"
MIA,"Miami"
BOS,"Boston"
MSP,"Minneapolis"
FLL,"Fort Lauderdale"
DTW,"Detroit"
PHL,"Philadelphia"
LGA,"New York"
BWI,"Baltimore"
SLC,"Salt Lake City"
SAN,"San Diego"
IAD,"Washington, D.C."
