AUS,739
BCN,353
BEG,342
BLR,164
TXL,621
BOS,840
SBZ,540
BUD,291
EZE,225
CUN,147
CPT,400
DEN,756
LIS,1295
IST,143
IEV,417
FAO,484
SPC,899
LIM,199
LIS,428
LHR,729
MDE,153
MEX,186
PEN,3734
PWM,280
OPO,407
PRG,478
LED,268
GRU,148
SIN,881
TPA,787
TFS,672
TSR,346
YYZ,551
YVR,668
WAW,410
ZAG,473
